2020/08/19 13:31:54.854 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:50:08.503 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:50:27.152 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:50:27.152 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:50:32.033 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:50:32.033 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:51:40.905 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:51:40.905 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:52:38.378 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:52:38.378 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:55:09.949 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:55:09.949 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:55:56.025 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:55:56.025 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:56:11.202 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:56:11.202 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:57:28.022 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:57:28.022 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:58:34.888 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:58:34.888 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 23:00:00.720 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 23:00:00.721 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 23:00:27.834 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 23:00:27.834 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 23:03:39.171 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 23:03:39.171 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:05:09.840 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:05:09.844 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:31:53.554 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:31:53.554 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:33:21.489 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:33:21.489 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:34:48.572 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:34:48.572 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:35:03.746 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:35:03.746 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:37:50.980 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:37:50.980 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:38:47.501 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:38:47.501 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:41:18.511 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:41:18.511 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:42:16.802 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:42:16.802 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:42:22.774 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:42:22.774 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:42:43.674 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:42:43.674 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:44:05.707 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:44:05.707 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:44:28.454 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:44:28.454 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:47:51.479 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:47:51.479 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:48:28.267 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:48:28.267 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:50:46.227 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:50:46.227 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:52:39.966 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:52:39.966 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:54:28.004 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:54:28.005 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:55:19.447 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:55:19.447 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:55:52.131 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:55:52.131 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 00:56:43.681 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 00:56:43.681 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:24:48.222 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:24:48.224 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:32:46.480 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:32:46.480 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:32:58.944 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:32:58.945 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:33:32.916 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:33:32.917 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:33:44.640 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:33:44.641 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:33:51.595 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:33:51.595 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:33:53.793 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:33:53.793 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:34:12.882 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:34:12.882 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:35:34.433 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:35:34.433 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:36:04.135 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:36:04.136 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:36:21.353 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:36:21.353 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:36:24.610 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:36:24.611 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:36:26.992 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:36:26.993 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:36:43.235 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:36:43.235 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 17:37:52.625 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 17:37:52.625 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:04:37.623 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:04:37.624 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:06:16.319 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:06:16.319 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:24:46.114 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:24:46.114 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:24:48.400 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:24:48.400 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:24:51.027 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:24:51.028 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:24:53.428 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:24:53.428 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:24:55.786 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:24:55.786 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:00.525 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:00.526 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:03.552 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:03.553 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:05.753 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:05.753 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:08.615 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:08.616 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:12.475 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:12.476 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:14.771 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:14.772 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:17.169 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:17.170 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:19.439 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:19.439 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:22.715 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:22.715 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:28.118 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:28.120 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:25:58.021 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:25:58.021 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:26:01.451 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:26:01.452 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:26:04.155 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:26:04.156 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:26:06.320 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:26:06.320 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:27:28.475 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:27:28.475 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:29:59.021 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:29:59.021 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:34:03.349 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:34:03.350 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:34:56.323 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:34:56.323 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:34:59.058 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:34:59.060 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:37:08.865 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:37:08.866 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:37:11.484 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:37:11.484 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:41:05.903 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:41:05.903 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:41:41.658 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:41:41.658 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:41:51.676 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:41:51.676 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:42:07.347 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:42:07.348 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:43:37.514 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:43:37.515 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:44:18.992 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:44:18.992 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:45:15.327 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:45:15.328 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:45:25.400 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:45:25.402 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:46:25.739 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:46:25.740 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:46:50.254 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:46:50.254 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:48:21.979 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:48:21.979 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:49:01.225 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:49:01.225 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:50:34.237 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:50:34.237 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:53:18.965 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:53:18.966 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 18:53:42.473 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 18:53:42.473 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:01:03.504 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:01:03.505 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:02:27.095 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:02:27.095 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:02:59.441 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:02:59.442 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:03:03.356 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:03:03.356 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:03:57.028 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:03:57.029 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:04:08.648 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:04:08.648 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:09:19.260 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:09:19.260 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:10:54.028 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:10:54.029 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:10:56.717 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:10:56.717 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:11:40.205 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:11:40.205 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:14:00.590 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:14:00.590 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:14:03.183 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:14:03.184 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:15:20.948 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:15:20.948 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:15:36.762 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:15:36.762 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:16:38.111 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:16:38.112 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:16:40.392 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:16:40.392 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:19:17.897 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:19:17.898 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:19:41.314 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:19:41.315 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:41:45.615 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:41:45.617 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:42:04.730 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:42:04.731 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:43:10.256 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:43:10.256 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:43:48.259 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:43:48.259 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:44:56.695 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:44:56.695 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:47:03.138 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:47:03.140 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:47:42.678 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:47:42.678 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/21 19:48:16.781 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/21 19:48:16.781 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:19:48.627 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:19:48.628 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:23:32.855 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:23:32.856 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:24:12.170 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:24:12.170 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:24:50.696 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:24:50.697 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:25:02.891 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:25:02.891 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:25:43.773 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:25:43.773 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:25:57.846 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:25:57.846 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:26:40.222 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:26:40.222 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:29:54.233 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:29:54.234 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:29:57.195 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:29:57.195 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:34:03.085 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:34:03.085 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:34:33.243 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:34:33.243 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:47:37.549 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:47:37.549 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:52:30.605 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:52:30.605 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:53:06.071 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:53:06.072 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 13:53:14.953 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 13:53:14.953 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:19:56.283 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:19:56.283 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:23:28.135 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:23:28.135 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:23:41.233 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:23:41.233 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:23:49.329 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:23:49.329 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:24:23.044 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:24:23.044 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:24:33.436 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:24:33.437 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
